Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
0.0,0.0,0.0,0.025748927,0.0,0.0,0.0,0.0,0.480251992,-0.231103037,-0.176670862,-0.794658949,-1.164226543,0.0,-1.110291473,0.255670648,-0.33824966,0.0,23.4
0.0,0.0,0.0,-0.307913797,-1.399342726,0.0,0.0,0.0,0.480251992,-0.231103037,-0.176670862,-0.794658949,-1.164226543,0.0,-1.110291473,0.255670648,-0.33824966,0.0,29.52
0.0,0.0,0.0,-0.641576522,-1.140432659,0.0,0.0,0.0,0.480251992,-0.231103037,-0.176670862,-0.794658949,-1.164226543,0.0,-1.110291473,0.255670648,-0.33824966,0.0,32.86
0.0,0.0,0.0,-0.975239246,-0.881522592,0.0,0.0,0.0,0.480251992,-0.231103037,-0.176670862,-0.794658949,-1.164226543,0.0,-1.110291473,0.255670648,-0.33824966,0.0,35.73
0.0,0.0,0.0,-1.30890197,-0.622612524,0.0,0.0,0.0,0.480251992,-0.231103037,-0.176670862,-0.794658949,-1.164226543,0.0,-1.110291473,0.255670648,-0.33824966,0.0,36.93
0.0,0.0,0.0,-1.642564694,-0.363702457,0.0,0.0,0.0,0.480251992,-0.231103037,-0.176670862,-0.794658949,-1.164226543,0.0,-1.110291473,0.255670648,-0.33824966,0.0,39.23
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.42173575,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,41.291
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.439416097,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,49.8362
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.451202994,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,58.1384
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.563178528,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,43.6923
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.55257032,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,50.7692
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.545498181,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,66.1538
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.704621306,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,45.8666
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.665724542,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,58.9177
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.639793366,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,70.9148
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.846064085,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,48.7669
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.778878765,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,61.3713
0.0,0.0,0.0,0.0,0.977895537,0.0,0.0,0.0,-1.635911416,-0.738689859,1.41567674,-0.311371575,-0.734088552,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,71.1834
0.0,0.0,0.0,0.0,-1.658252794,0.0,0.0,0.459067357,-1.725013033,-0.328994781,1.19140243,-0.794658949,-0.345055347,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,55.4
0.0,0.0,0.0,0.0,-1.12119934,0.0,0.0,-0.072065275,-1.725013033,-0.328994781,1.19140243,-0.794658949,-0.345055347,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,71.2
0.0,0.0,0.0,0.0,-1.133035228,0.0,0.0,-0.119618472,-1.725013033,-0.328994781,1.19140243,-0.794658949,0.295972127,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,2.34
0.0,0.0,0.0,0.0,-1.133035228,0.0,0.0,-0.119618472,-1.725013033,-0.328994781,1.19140243,-0.794658949,0.116037438,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,49.3
0.0,0.0,0.0,0.0,-1.133035228,0.0,0.0,-0.119618472,-1.725013033,-0.328994781,1.19140243,-0.794658949,0.026070093,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,57.1
0.0,0.0,0.0,0.0,-1.133035228,0.0,0.0,-0.119618472,-1.725013033,-0.328994781,1.19140243,-0.794658949,-0.063897251,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,54.41
0.0,0.0,0.0,0.0,-1.133035228,0.0,0.0,-0.119618472,-1.725013033,-0.328994781,1.19140243,-0.794658949,-0.243831941,-0.222346364,0.284599779,-0.456212456,-0.33824966,-2.162001281,51.21
0.0,0.0,0.0,0.447975271,1.258480076,0.0,0.0,0.0,0.108995254,-0.231103037,0.070030879,-0.794658949,-0.84868262,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,58.0
0.0,0.0,0.0,0.447975271,1.258480076,0.0,0.0,0.0,0.108995254,-0.231103037,0.070030879,-0.794658949,-1.009565401,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,67.2
0.0,0.0,0.0,0.447975271,1.258480076,0.0,0.0,0.0,0.108995254,-0.231103037,0.070030879,-0.794658949,-0.84868262,-0.222346364,1.834478947,0.0,-0.33824966,-0.568451427,58.9
0.0,0.0,0.0,0.447975271,1.258480076,0.0,0.0,0.0,0.108995254,-0.231103037,0.070030879,-0.794658949,-1.009565401,-0.222346364,1.834478947,0.0,-0.33824966,-0.568451427,62.3
0.0,0.0,0.0,0.0,1.512285916,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,1.508553322,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,57.4
0.0,0.0,0.0,0.0,1.157948996,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,0.937834004,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,50.26
0.0,0.0,0.0,0.0,0.827283853,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,0.480323596,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,56.67
0.0,0.0,0.0,0.0,1.004822184,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,0.686719269,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,53.8
0.0,0.0,0.0,0.0,1.402803945,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,1.166809717,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,58.11
0.0,0.0,0.0,0.0,1.064001628,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,0.986610418,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,57.18
0.0,0.0,0.0,0.0,1.25855405,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,0.942729286,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,38.1
0.0,0.0,0.0,0.0,0.913094046,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,0.737612561,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,65.02
0.0,0.0,0.0,0.0,1.300719404,0.0,0.0,0.0,0.591629013,3.249492315,-2.396986532,-0.794658949,1.137879041,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,60.8
0.0,0.0,0.0,0.340345209,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,-0.794658949,-0.095379207,-0.222346364,1.447009155,0.255670648,-0.33824966,1.025098427,29.62
0.0,0.0,0.0,0.340345209,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,-0.794658949,-0.236504453,-0.222346364,1.447009155,0.255670648,-0.33824966,1.025098427,31.39
0.0,0.0,0.0,0.340345209,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,-0.794658949,-0.3776297,-0.222346364,1.447009155,0.255670648,-0.33824966,1.025098427,33.17
0.0,0.0,0.0,1.107769474,0.0,0.0,0.0,0.0,0.316899027,-0.220226176,-0.154243431,-0.794658949,-0.095379207,-0.222346364,1.447009155,0.255670648,-0.33824966,1.025098427,32.43
