IDX,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
1330,-0.112773522779141,0.0706622419716541,0.319653286340486,-0.51213108940937,1.04188236661423,1.77293264005297,-0.164890238625025,-0.880483923479302,0.618347822657492,-0.783945510527609,0,0,-0.432915235252669,0,0,0,-1.84657561625003,0,0,0,-0.511749450884976,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,16.25
1331,-0.0366437614502465,0.349207222580547,0.183498339522098,-0.595772379982453,0.70228452108748,1.48918856303469,-0.195796881673967,-0.88360650916371,0.260016380546748,-0.829892309436278,0,0,-0.40266725574973,0,0,0,-1.48049994189627,0,0,0,-0.792679107544228,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,13
1332,-0.539355004761229,-1.0598191379857,0.708686851382721,0.0748595193848883,2.30648900484362,2.56586817799035,-0.112215461601414,-0.871116166426077,1.6479198535109,-0.646105113801601,0,0,-0.500132967481423,0,0,0,0,-1.3741914625812,0,0,0.331039519092779,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,17.5
1333,-0.66141744142774,-1.07612059550747,0.553100629151405,0.327284965886814,2.21270426096601,2.2238274078546,-0.183167256773569,-0.874238752110485,1.24416611592133,-0.69205191271027,0,0,-0.44635878169842,0,0,0,0,-1.09013013159209,0,0,0.0501098624335269,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,24
1334,-0.783479878094251,-1.09242205302925,0.397514406920089,0.579710412388739,2.11891951708841,1.88178663771886,-0.254119051945723,-0.877361337794893,0.840412378331756,-0.737998711618939,0,0,-0.392584595915417,0,0,0,0,-0.806068800602992,0,0,-0.230819794225724,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,33
1335,-0.905542314760762,-1.10872351055103,0.241928184688773,0.832135858890664,2.02513477321081,1.53974586758311,-0.325070847117878,-0.880483923479302,0.436658640742185,-0.783945510527609,0,0,-0.338810410132413,0,0,0,0,-0.52200746961389,0,0,-0.511749450884976,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,46
1336,-1.02760475142727,-1.12502496807281,0.0863419624574567,1.08456130539259,1.9313500293332,1.19770509744737,-0.396022642290032,-0.88360650916371,0.0329049031526145,-0.829892309436278,0,0,-0.28503622434941,0,0,0,0,-0.237946138624787,0,0,-0.792679107544228,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,50.75
1337,1.82500168955549,0.604226236084144,-0.207750390917212,-1.09352654454913,-1.01527581336546,-0.401936059387893,-0.966409360352721,-0.614513095772051,0,0,0,0,-0.950491773414074,0,0,0,0.788406581442137,0,0,0,0,1.31557965244526,1.82099797249998,-1.95068065474154,0.372833022582561,-0.371142348732115,-0.222346363503612,0.284599778870503,0.255670648036488,-0.024272545051737,-0.568451427252854,31.0558
1338,1.82500168955549,0.604226236084144,-0.207750390917212,-1.09352654454913,-1.01527581336546,-0.401936059387893,-0.966409360352721,-0.614513095772051,0,0,0,0,-0.950491773414074,0,0,0,0.473810298794375,0,0,0,0,1.31557965244526,1.82099797249998,-1.95068065474154,0.283234801498377,-0.560669144673523,-0.222346363503612,0.284599778870503,0.255670648036488,-0.024272545051737,-0.568451427252854,32.6797
1339,1.82500168955549,0.604226236084144,-0.207750390917212,-1.09352654454913,-1.01527581336546,-0.401936059387893,-0.966409360352721,-0.614513095772051,0,0,0,0,-0.950491773414074,0,0,0,0.159214016146613,0,0,0,0,1.31557965244526,1.82099797249998,-1.95068065474154,0.193636580414194,-0.760778129023574,-0.222346363503612,0.284599778870503,0.255670648036488,-0.024272545051737,-0.568451427252854,32.9878
